"book","word","n"
"Mansfield Park","meanwhile",14
"Mansfield Park","measure",14
"Mansfield Park","mention",14
"Mansfield Park","midst",14
"Mansfield Park","moments",14
"Mansfield Park","money",14
"Mansfield Park","move",14
"Mansfield Park","one's",14
"Mansfield Park","pleasing",14
"Mansfield Park","pressed",14
"Mansfield Park","prevented",14
"Mansfield Park","principle",14
"Mansfield Park","produced",14
"Mansfield Park","questions",14
"Mansfield Park","rehearsal",14
"Mansfield Park","residence",14
"Mansfield Park","send",14
"Mansfield Park","shewn",14
"Mansfield Park","simple",14
"Mansfield Park","smiles",14
"Mansfield Park","staying",14
"Mansfield Park","steady",14
"Mansfield Park","story",14
"Mansfield Park","suffered",14
"Mansfield Park","sufficient",14
"Mansfield Park","supply",14
"Mansfield Park","tender",14
"Mansfield Park","tenderness",14
"Mansfield Park","thousand",14
"Mansfield Park","tolerably",14
"Mansfield Park","upstairs",14
"Mansfield Park","vexation",14
"Mansfield Park","wait",14
"Mansfield Park","ways",14
"Emma","_i_",14
"Emma","acknowledge",14
"Emma","advice",14
"Emma","assistance",14
"Emma","catch",14
"Emma","caution",14
"Emma","consent",14
"Emma","deep",14
"Emma","easily",14
"Emma","endeavour",14
"Emma","expectation",14
"Emma","explanation",14
"Emma","favourable",14
"Emma","fears",14
"Emma","following",14
"Emma","former",14
"Emma","fresh",14
"Emma","habit",14
"Emma","hair",14
"Emma","hold",14
"Emma","immediate",14
"Emma","indifference",14
"Emma","infinitely",14
"Emma","instantly",14
"Emma","ireland",14
"Emma","merit",14
"Emma","musical",14
"Emma","naturally",14
"Emma","nearly",14
"Emma","order",14
"Emma","passage",14
"Emma","persuade",14
"Emma","powers",14
"Emma","produced",14
"Emma","proposed",14
"Emma","receiving",14
"Emma","remain",14
"Emma","reply",14
"Emma","required",14
"Emma","rich",14
"Emma","sea",14
"Emma","seldom",14
"Emma","servants",14
"Emma","spring",14
"Emma","staying",14
"Emma","story",14
"Emma","strange",14
"Emma","suspected",14
"Emma","tender",14
"Emma","undoubtedly",14
"Emma","utmost",14
"Emma","visits",14
"Emma","writing",14
"Northanger Abbey","affectionate",14
"Northanger Abbey","appear",14
"Northanger Abbey","ashamed",14
"Northanger Abbey","convinced",14
"Northanger Abbey","delighted",14
"Northanger Abbey","disappointment",14
"Northanger Abbey","during",14
"Northanger Abbey","expectation",14
"Northanger Abbey","fair",14
"Northanger Abbey","followed",14
"Northanger Abbey","former",14
"Northanger Abbey","greatest",14
"Northanger Abbey","hughes",14
"Northanger Abbey","hurry",14
"Northanger Abbey","kindness",14
"Northanger Abbey","knowledge",14
"Northanger Abbey","madam",14
"Northanger Abbey","manners",14
"Northanger Abbey","pride",14
"Northanger Abbey","pulteney",14
"Northanger Abbey","purpose",14
"Northanger Abbey","seem",14
"Northanger Abbey","stand",14
"Northanger Abbey","thousand",14
"Northanger Abbey","vain",14
"Northanger Abbey","whatever",14
"Persuasion","agitation",14
"Persuasion","ashamed",14
"Persuasion","besides",14
"Persuasion","breakfast",14
"Persuasion","cobb",14
"Persuasion","comfortable",14
"Persuasion","consciousness",14
"Persuasion","difference",14
"Persuasion","easy",14
"Persuasion","evil",14
"Persuasion","friendship",14
"Persuasion","fully",14
"Persuasion","future",14
"Persuasion","getting",14
"Persuasion","girls",14
"Persuasion","glance",14
"Persuasion","honour",14
"Persuasion","improved",14
"Persuasion","instantly",14
"Persuasion","introduced",14
"Persuasion","justice",14
"Persuasion","keep",14
"Persuasion","live",14
"Persuasion","london",14
"Persuasion","looks",14
"Persuasion","necessary",14
"Persuasion","neighbourhood",14
"Persuasion","persuaded",14
"Persuasion","property",14
"Persuasion","sat",14
"Persuasion","sent",14
"Persuasion","sit",14
"Persuasion","struck",14
"Persuasion","trouble",14
"Persuasion","truth",14
"Persuasion","turning",14
"Persuasion","yesterday",14
"Persuasion","yourself",14
"Sense & Sensibility","approbation",13
"Sense & Sensibility","assist",13
"Sense & Sensibility","astonished",13
"Sense & Sensibility","besides",13
"Sense & Sensibility","burst",13
"Sense & Sensibility","calling",13
"Sense & Sensibility","comparison",13
"Sense & Sensibility","confess",13
"Sense & Sensibility","conscience",13
"Sense & Sensibility","consent",13
"Sense & Sensibility","continual",13
"Sense & Sensibility","dance",13
"Sense & Sensibility","death",13
"Sense & Sensibility","due",13
"Sense & Sensibility","earnestly",13
"Sense & Sensibility","employment",13
"Sense & Sensibility","evident",13
"Sense & Sensibility","evil",13
"Sense & Sensibility","expense",13
"Sense & Sensibility","expression",13
"Sense & Sensibility","extremely",13
"Sense & Sensibility","feared",13
"Sense & Sensibility","fellow",13
"Sense & Sensibility","forth",13
"Sense & Sensibility","fortnight",13
"Sense & Sensibility","garden",13
"Sense & Sensibility","grateful",13
"Sense & Sensibility","health",13
"Sense & Sensibility","horses",13
"Sense & Sensibility","intended",13
"Sense & Sensibility","laugh",13
"Sense & Sensibility","leisure",13
"Sense & Sensibility","merit",13
"Sense & Sensibility","naturally",13
"Sense & Sensibility","o'clock",13
"Sense & Sensibility","offence",13
"Sense & Sensibility","opposition",13
"Sense & Sensibility","orders",13
"Sense & Sensibility","parted",13
"Sense & Sensibility","perceived",13
"Sense & Sensibility","persuasion",13
"Sense & Sensibility","post",13
"Sense & Sensibility","pressed",13
"Sense & Sensibility","private",13
"Sense & Sensibility","probability",13
"Sense & Sensibility","proved",13
"Sense & Sensibility","receiving",13
"Sense & Sensibility","recovered",13
"Sense & Sensibility","reflection",13
"Sense & Sensibility","returning",13
"Sense & Sensibility","says",13
"Sense & Sensibility","secure",13
"Sense & Sensibility","sensible",13
"Sense & Sensibility","solicitude",13
"Sense & Sensibility","sweet",13
"Sense & Sensibility","trouble",13
"Sense & Sensibility","vanity",13
"Sense & Sensibility","walking",13
"Pride & Prejudice","_his_",13
"Pride & Prejudice","anger",13
"Pride & Prejudice","assistance",13
"Pride & Prejudice","brother's",13
"Pride & Prejudice","clothes",13
"Pride & Prejudice","comparison",13
"Pride & Prejudice","conceal",13
"Pride & Prejudice","consent",13
"Pride & Prejudice","dared",13
"Pride & Prejudice","deceived",13
"Pride & Prejudice","determine",13
"Pride & Prejudice","distressed",13
"Pride & Prejudice","eager",13
"Pride & Prejudice","enjoyment",13
"Pride & Prejudice","entrance",13
"Pride & Prejudice","etc",13
"Pride & Prejudice","finding",13
"Pride & Prejudice","form",13
"Pride & Prejudice","frequent",13
"Pride & Prejudice","gardiner's",13
"Pride & Prejudice","grateful",13
"Pride & Prejudice","hall",13
"Pride & Prejudice","ideas",13
"Pride & Prejudice","interference",13
"Pride & Prejudice","intimate",13
"Pride & Prejudice","leisure",13
"Pride & Prejudice","old",13
"Pride & Prejudice","opening",13
"Pride & Prejudice","partiality",13
"Pride & Prejudice","picture",13
"Pride & Prejudice","plan",13
"Pride & Prejudice","possibility",13
"Pride & Prejudice","ran",13
"Pride & Prejudice","recollected",13
"Pride & Prejudice","relief",13
"Pride & Prejudice","secure",13
"Pride & Prejudice","seriously",13
"Pride & Prejudice","servants",13
"Pride & Prejudice","sooner",13
"Pride & Prejudice","spend",13
"Pride & Prejudice","standing",13
"Pride & Prejudice","suffer",13
"Pride & Prejudice","taste",13
"Pride & Prejudice","tea",13
"Pride & Prejudice","turning",13
"Pride & Prejudice","understood",13
"Pride & Prejudice","unhappy",13
"Pride & Prejudice","worse",13
"Pride & Prejudice","writing",13
"Pride & Prejudice","yesterday",13
"Pride & Prejudice","youngest",13
"Mansfield Park","across",13
"Mansfield Park","around",13
"Mansfield Park","busy",13
"Mansfield Park","chief",13
"Mansfield Park","completely",13
"Mansfield Park","connected",13
"Mansfield Park","constant",13
"Mansfield Park","conveyed",13
"Mansfield Park","daily",13
"Mansfield Park","decision",13
"Mansfield Park","desirable",13
"Mansfield Park","discussion",13
"Mansfield Park","domestic",13
"Mansfield Park","dreadful",13
"Mansfield Park","eagerly",13
"Mansfield Park","employment",13
"Mansfield Park","expressions",13
"Mansfield Park","following",13
"Mansfield Park","gaiety",13
"Mansfield Park","grateful",13
"Mansfield Park","harp",13
"Mansfield Park","independence",13
"Mansfield Park","interested",13
"Mansfield Park","invited",13
"Mansfield Park","kept",13
"Mansfield Park","liberty",13
"Mansfield Park","lieutenant",13
"Mansfield Park","lovers",13
"Mansfield Park","material",13
"Mansfield Park","matters",13
"Mansfield Park","middle",13
"Mansfield Park","mile",13
"Mansfield Park","newspaper",13
"Mansfield Park","nonsense",13
"Mansfield Park","opened",13
"Mansfield Park","order",13
"Mansfield Park","pains",13
"Mansfield Park","plans",13
"Mansfield Park","points",13
"Mansfield Park","possibly",13
"Mansfield Park","powers",13
"Mansfield Park","propriety",13
"Mansfield Park","quietly",13
"Mansfield Park","rate",13
"Mansfield Park","reach",13
"Mansfield Park","recollection",13
"Mansfield Park","removal",13
"Mansfield Park","representation",13
"Mansfield Park","rooms",13
"Mansfield Park","satisfy",13
"Mansfield Park","says",13
"Mansfield Park","sea",13
"Mansfield Park","seeming",13
"Mansfield Park","seldom",13
"Mansfield Park","selfish",13
"Mansfield Park","sending",13
"Mansfield Park","settle",13
"Mansfield Park","shame",13
"Mansfield Park","shrubbery",13
"Mansfield Park","sofa",13
"Mansfield Park","spring",13
"Mansfield Park","stand",13
"Mansfield Park","step",13
"Mansfield Park","success",13
"Mansfield Park","unhappy",13
"Mansfield Park","vows",13
"Mansfield Park","watching",13
"Emma","admitted",13
"Emma","appears",13
"Emma","around",13
"Emma","arrival",13
"Emma","assist",13
"Emma","attend",13
"Emma","avoid",13
"Emma","bed",13
"Emma","blind",13
"Emma","boy",13
"Emma","boys",13
"Emma","break",13
"Emma","bride",13
"Emma","burst",13
"Emma","civil",13
"Emma","compassion",13
"Emma","confess",13
"Emma","decidedly",13
"Emma","dining",13
"Emma","endure",13
"Emma","evidently",13
"Emma","excepting",13
"Emma","expecting",13
"Emma","fancying",13
"Emma","fast",13
"Emma","fit",13
"Emma","follow",13
"Emma","girls",13
"Emma","harm",13
"Emma","hearted",13
"Emma","imagination",13
"Emma","increase",13
"Emma","intelligence",13
"Emma","invite",13
"Emma","isabella's",13
"Emma","judged",13
"Emma","leisure",13
"Emma","light",13
"Emma","madam",13
"Emma","martin's",13
"Emma","martins",13
"Emma","master",13
"Emma","nash",13
"Emma","nephew",13
"Emma","objection",13
"Emma","observation",13
"Emma","paper",13
"Emma","particulars",13
"Emma","parting",13
"Emma","piece",13
"Emma","possibility",13
"Emma","post",13
"Emma","proceeded",13
"Emma","prospect",13
"Emma","public",13
"Emma","richmond",13
"Emma","school",13
"Emma","sensations",13
"Emma","solicitude",13
"Emma","strength",13
"Emma","suffer",13
"Emma","suit",13
"Emma","suspicions",13
"Emma","unpleasant",13
"Emma","willing",13
"Emma","window",13
"Emma","winter",13
"Emma","wonderful",13
"Northanger Abbey","address",13
"Northanger Abbey","age",13
"Northanger Abbey","agitation",13
"Northanger Abbey","ago",13
"Northanger Abbey","altogether",13
"Northanger Abbey","angry",13
"Northanger Abbey","answered",13
"Northanger Abbey","ball",13
"Northanger Abbey","became",13
"Northanger Abbey","beloved",13
"Northanger Abbey","books",13
"Northanger Abbey","change",13
"Northanger Abbey","choice",13
"Northanger Abbey","consequence",13
"Northanger Abbey","consideration",13
"Northanger Abbey","degree",13
"Northanger Abbey","dreadful",13
"Northanger Abbey","eager",13
"Northanger Abbey","easy",13
"Northanger Abbey","eleanor's",13
"Northanger Abbey","excellent",13
"Northanger Abbey","expressed",13
"Northanger Abbey","feeling",13
"Northanger Abbey","forth",13
"Northanger Abbey","fresh",13
"Northanger Abbey","friend's",13
"Northanger Abbey","hair",13
"Northanger Abbey","imagination",13
"Northanger Abbey","importance",13
"Northanger Abbey","latter",13
"Northanger Abbey","led",13
"Northanger Abbey","listened",13
"Northanger Abbey","lost",13
"Northanger Abbey","minute",13
"Northanger Abbey","mistaken",13
"Northanger Abbey","natural",13
"Northanger Abbey","need",13
"Northanger Abbey","nobody",13
"Northanger Abbey","occurred",13
"Northanger Abbey","oxford",13
"Northanger Abbey","parted",13
"Northanger Abbey","pleasant",13
"Northanger Abbey","pray",13
"Northanger Abbey","prevented",13
"Northanger Abbey","probably",13
"Northanger Abbey","raised",13
"Northanger Abbey","sake",13
"Northanger Abbey","sitting",13
"Northanger Abbey","sort",13
"Northanger Abbey","table",13
"Northanger Abbey","thorpes",13
"Northanger Abbey","twelve",13
"Northanger Abbey","walls",13
"Northanger Abbey","weeks",13
"Northanger Abbey","wrong",13
"Persuasion","admitted",13
"Persuasion","along",13
"Persuasion","altogether",13
"Persuasion","appear",13
"Persuasion","became",13
"Persuasion","become",13
"Persuasion","calling",13
"Persuasion","clear",13
"Persuasion","cold",13
"Persuasion","croft's",13
"Persuasion","danger",13
"Persuasion","dare",13
"Persuasion","dine",13
"Persuasion","due",13
"Persuasion","duty",13
"Persuasion","enjoyment",13
"Persuasion","especially",13
"Persuasion","extraordinary",13
"Persuasion","fair",13
"Persuasion","fixed",13
"Persuasion","forget",13
"Persuasion","greater",13
"Persuasion","heir",13
"Persuasion","hint",13
"Persuasion","inn",13
"Persuasion","interesting",13
"Persuasion","invitation",13
"Persuasion","itself",13
"Persuasion","listen",13
"Persuasion","mentioned",13
"Persuasion","moments",13
"Persuasion","navy",13
"Persuasion","occupied",13
"Persuasion","opportunity",13
"Persuasion","personal",13
"Persuasion","pity",13
"Persuasion","play",13
"Persuasion","pleasant",13
"Persuasion","power",13
"Persuasion","read",13
"Persuasion","regret",13
"Persuasion","sake",13
"Persuasion","severe",13
"Persuasion","share",13
"Persuasion","smile",13
"Persuasion","society",13
"Persuasion","strength",13
"Persuasion","tenant",13
"Persuasion","tried",13
"Persuasion","yours",13
"Sense & Sensibility","acknowledge",12
"Sense & Sensibility","acknowledged",12
"Sense & Sensibility","affections",12
"Sense & Sensibility","angry",12
"Sense & Sensibility","bad",12
"Sense & Sensibility","beautiful",12
"Sense & Sensibility","bringing",12
"Sense & Sensibility","broken",12
"Sense & Sensibility","censure",12
"Sense & Sensibility","communication",12
"Sense & Sensibility","consciousness",12
"Sense & Sensibility","consideration",12
"Sense & Sensibility","couple",12
"Sense & Sensibility","dislike",12
"Sense & Sensibility","distance",12
"Sense & Sensibility","drawn",12
"Sense & Sensibility","enter",12
"Sense & Sensibility","excellent",12
"Sense & Sensibility","exclaimed",12
"Sense & Sensibility","explanation",12
"Sense & Sensibility","fact",12
"Sense & Sensibility","fell",12
"Sense & Sensibility","finished",12
"Sense & Sensibility","forgot",12
"Sense & Sensibility","gay",12
"Sense & Sensibility","greatly",12
"Sense & Sensibility","grief",12
"Sense & Sensibility","happen",12
"Sense & Sensibility","hastily",12
"Sense & Sensibility","heartily",12
"Sense & Sensibility","high",12
"Sense & Sensibility","hills",12
"Sense & Sensibility","hold",12
"Sense & Sensibility","ignorance",12
"Sense & Sensibility","illness",12
"Sense & Sensibility","imagination",12
"Sense & Sensibility","important",12
"Sense & Sensibility","increase",12
"Sense & Sensibility","interested",12
"Sense & Sensibility","intimate",12
"Sense & Sensibility","join",12
"Sense & Sensibility","lay",12
"Sense & Sensibility","length",12
"Sense & Sensibility","lively",12
"Sense & Sensibility","material",12
"Sense & Sensibility","minute",12
"Sense & Sensibility","miserable",12
"Sense & Sensibility","moment's",12
"Sense & Sensibility","natured",12
"Sense & Sensibility","objection",12
"Sense & Sensibility","paid",12
"Sense & Sensibility","palmer's",12
"Sense & Sensibility","parsonage",12
"Sense & Sensibility","placed",12
"Sense & Sensibility","please",12
"Sense & Sensibility","prepared",12
"Sense & Sensibility","probable",12
"Sense & Sensibility","procured",12
"Sense & Sensibility","promised",12
"Sense & Sensibility","raised",12
"Sense & Sensibility","reasonable",12
"Sense & Sensibility","related",12
"Sense & Sensibility","remain",12
"Sense & Sensibility","remaining",12
"Sense & Sensibility","resemblance",12
"Sense & Sensibility","restored",12
"Sense & Sensibility","sending",12
"Sense & Sensibility","sincere",12
"Sense & Sensibility","smiling",12
"Sense & Sensibility","spare",12
"Sense & Sensibility","sudden",12
"Sense & Sensibility","suddenly",12
"Sense & Sensibility","superior",12
"Sense & Sensibility","suspect",12
"Sense & Sensibility","terms",12
"Sense & Sensibility","tone",12
"Sense & Sensibility","uncle",12
"Sense & Sensibility","unnecessary",12
"Sense & Sensibility","waiting",12
"Sense & Sensibility","warm",12
"Sense & Sensibility","warmly",12
"Sense & Sensibility","wretched",12
"Sense & Sensibility","wrote",12
"Pride & Prejudice","_he_",12
"Pride & Prejudice","accomplished",12
"Pride & Prejudice","actually",12
"Pride & Prejudice","add",12
"Pride & Prejudice","admired",12
"Pride & Prejudice","agreed",12
"Pride & Prejudice","amongst",12
"Pride & Prejudice","amusement",12
"Pride & Prejudice","application",12
"Pride & Prejudice","applied",12
"Pride & Prejudice","apprehension",12
"Pride & Prejudice","approaching",12
"Pride & Prejudice","begin",12
"Pride & Prejudice","beginning",12
"Pride & Prejudice","believing",12
"Pride & Prejudice","besides",12
"Pride & Prejudice","bringing",12
"Pride & Prejudice","colour",12
"Pride & Prejudice","comfortable",12
"Pride & Prejudice","congratulations",12
"Pride & Prejudice","constant",12
"Pride & Prejudice","contempt",12
"Pride & Prejudice","courage",12
"Pride & Prejudice","danced",12
"Pride & Prejudice","denny",12
"Pride & Prejudice","disappointed",12
"Pride & Prejudice","elder",12
"Pride & Prejudice","engagements",12
"Pride & Prejudice","enter",12
"Pride & Prejudice","expressions",12
"Pride & Prejudice","false",12
"Pride & Prejudice","favourable",12
"Pride & Prejudice","forgotten",12
"Pride & Prejudice","garden",12
"Pride & Prejudice","generous",12
"Pride & Prejudice","georgiana",12
"Pride & Prejudice","grieved",12
"Pride & Prejudice","happen",12
"Pride & Prejudice","hard",12
"Pride & Prejudice","hint",12
"Pride & Prejudice","immediate",12
"Pride & Prejudice","informed",12
"Pride & Prejudice","joy",12
"Pride & Prejudice","judge",12
"Pride & Prejudice","ladyship's",12
"Pride & Prejudice","lately",12
"Pride & Prejudice","listen",12
"Pride & Prejudice","looks",12
"Pride & Prejudice","lord",12
"Pride & Prejudice","music",12
"Pride & Prejudice","naturally",12
"Pride & Prejudice","observing",12
"Pride & Prejudice","occasionally",12
"Pride & Prejudice","parties",12
"Pride & Prejudice","perceived",12
"Pride & Prejudice","probable",12
"Pride & Prejudice","public",12
"Pride & Prejudice","rank",12
"Pride & Prejudice","recollection",12
"Pride & Prejudice","recommend",12
"Pride & Prejudice","relationship",12
"Pride & Prejudice","request",12
"Pride & Prejudice","returning",12
"Pride & Prejudice","rich",12
"Pride & Prejudice","sentence",12
"Pride & Prejudice","shire",12
"Pride & Prejudice","shortly",12
"Pride & Prejudice","silly",12
"Pride & Prejudice","single",12
"Pride & Prejudice","speech",12
"Pride & Prejudice","steady",12
"Pride & Prejudice","stranger",12
"Pride & Prejudice","try",12
"Pride & Prejudice","tuesday",12
"Pride & Prejudice","welcome",12
"Mansfield Park","add",12
"Mansfield Park","affected",12
"Mansfield Park","altered",12
"Mansfield Park","assist",12
"Mansfield Park","barouche",12
"Mansfield Park","bath",12
"Mansfield Park","bed",12
"Mansfield Park","book",12
"Mansfield Park","books",12
"Mansfield Park","boys",12
"Mansfield Park","burst",12
"Mansfield Park","catch",12
"Mansfield Park","ceased",12
"Mansfield Park","charge",12
"Mansfield Park","chiefly",12
"Mansfield Park","consult",12
"Mansfield Park","convince",12
"Mansfield Park","cousin's",12
"Mansfield Park","day's",12
"Mansfield Park","deep",12
"Mansfield Park","despair",12
"Mansfield Park","disappointed",12
"Mansfield Park","distinction",12
"Mansfield Park","easter",12
"Mansfield Park","engagement",12
"Mansfield Park","estate",12
"Mansfield Park","evident",12
"Mansfield Park","exclaimed",12
"Mansfield Park","extremely",12
"Mansfield Park","friendly",12
"Mansfield Park","game",12
"Mansfield Park","gentlemen",12
"Mansfield Park","grants",12
"Mansfield Park","grave",12
"Mansfield Park","green",12
"Mansfield Park","grounds",12
"Mansfield Park","growing",12
"Mansfield Park","heavy",12
"Mansfield Park","hundred",12
"Mansfield Park","illness",12
"Mansfield Park","impatient",12
"Mansfield Park","impression",12
"Mansfield Park","increasing",12
"Mansfield Park","intercourse",12
"Mansfield Park","invitation",12
"Mansfield Park","jealousy",12
"Mansfield Park","key",12
"Mansfield Park","lately",12
"Mansfield Park","lead",12
"Mansfield Park","matrimony",12
"Mansfield Park","mere",12
"Mansfield Park","minute",12
"Mansfield Park","moving",12
"Mansfield Park","naturally",12
"Mansfield Park","northampton",12
"Mansfield Park","novelty",12
"Mansfield Park","november",12
"Mansfield Park","obliging",12
"Mansfield Park","parted",12
"Mansfield Park","parting",12
"Mansfield Park","picture",12
"Mansfield Park","price's",12
"Mansfield Park","principal",12
"Mansfield Park","probability",12
"Mansfield Park","progress",12
"Mansfield Park","proof",12
"Mansfield Park","proposed",12
"Mansfield Park","reasonable",12
"Mansfield Park","remaining",12
"Mansfield Park","rich",12
"Mansfield Park","rising",12
"Mansfield Park","sacrifice",12
"Mansfield Park","sanguine",12
"Mansfield Park","scruples",12
"Mansfield Park","shewed",12
"Mansfield Park","staid",12
"Mansfield Park","strange",12
"Mansfield Park","stupid",12
"Mansfield Park","succeeded",12
"Mansfield Park","taught",12
"Mansfield Park","third",12
"Mansfield Park","unnecessary",12
"Mansfield Park","wear",12
"Mansfield Park","white",12
"Mansfield Park","willing",12
"Mansfield Park","wretchedness",12
"Mansfield Park","younger",12
"Emma","_him_",12
"Emma","_that_",12
"Emma","above",12
"Emma","acknowledged",12
"Emma","advantages",12
"Emma","arranged",12
"Emma","awkward",12
"Emma","become",12
"Emma","becoming",12
"Emma","beg",12
"Emma","begun",12
"Emma","blessing",12
"Emma","breakfast",12
"Emma","bye",12
"Emma","claim",12
"Emma","clear",12
"Emma","cole's",12
"Emma","complexion",12
"Emma","declare",12
"Emma","desired",12
"Emma","doors",12
"Emma","drive",12
"Emma","earnestly",12
"Emma","eat",12
"Emma","excessively",12
"Emma","exclaimed",12
"Emma","feared",12
"Emma","finished",12
"Emma","folly",12
"Emma","formed",12
"Emma","frightened",12
"Emma","gallantry",12
"Emma","glance",12
"Emma","habits",12
"Emma","happen",12
"Emma","hard",12
"Emma","impatient",12
"Emma","importance",12
"Emma","increased",12
"Emma","induced",12
"Emma","inquiry",12
"Emma","intelligible",12
"Emma","intercourse",12
"Emma","journey",12
"Emma","larkins",12
"Emma","lead",12
"Emma","lively",12
"Emma","material",12
"Emma","melancholy",12
"Emma","misery",12
"Emma","moments",12
"Emma","month",12
"Emma","nay",12
"Emma","parlour",12
"Emma","patty",12
"Emma","peace",12
"Emma","preference",12
"Emma","private",12
"Emma","probability",12
"Emma","proceed",12
"Emma","questions",12
"Emma","recovered",12
"Emma","seated",12
"Emma","separate",12
"Emma","settle",12
"Emma","silly",12
"Emma","sisters",12
"Emma","six",12
"Emma","size",12
"Emma","sooner",12
"Emma","sound",12
"Emma","spare",12
"Emma","square",12
"Emma","suckling",12
"Emma","suffered",12
"Emma","thorough",12
"Emma","throat",12
"Emma","thus",12
"Emma","touch",12
"Emma","truly",12
"Emma","venture",12
"Emma","warmth",12
"Emma","wretched",12
"Northanger Abbey","anxiety",12
"Northanger Abbey","assured",12
"Northanger Abbey","astonishment",12
"Northanger Abbey","attached",12
"Northanger Abbey","attachment",12
"Northanger Abbey","attentions",12
"Northanger Abbey","beautiful",12
"Northanger Abbey","besides",12
"Northanger Abbey","building",12
"Northanger Abbey","case",12
"Northanger Abbey","caught",12
"Northanger Abbey","certain",12
"Northanger Abbey","circumstance",12
"Northanger Abbey","death",12
"Northanger Abbey","dinner",12
"Northanger Abbey","disappointed",12
"Northanger Abbey","distance",12
"Northanger Abbey","dress",12
"Northanger Abbey","drew",12
"Northanger Abbey","easily",12
"Northanger Abbey","effect",12
"Northanger Abbey","fixed",12
"Northanger Abbey","haste",12
"Northanger Abbey","hearing",12
"Northanger Abbey","honour",12
"Northanger Abbey","hurried",12
"Northanger Abbey","judge",12
"Northanger Abbey","kept",12
"Northanger Abbey","lay",12
"Northanger Abbey","leisure",12
"Northanger Abbey","looks",12
"Northanger Abbey","monday",12
"Northanger Abbey","mother's",12
"Northanger Abbey","notion",12
"Northanger Abbey","observation",12
"Northanger Abbey","opportunity",12
"Northanger Abbey","pain",12
"Northanger Abbey","parting",12
"Northanger Abbey","plain",12
"Northanger Abbey","pleased",12
"Northanger Abbey","proceeded",12
"Northanger Abbey","promise",12
"Northanger Abbey","quarter",12
"Northanger Abbey","rising",12
"Northanger Abbey","safe",12
"Northanger Abbey","speaking",12
"Northanger Abbey","spent",12
"Northanger Abbey","suddenly",12
"Northanger Abbey","tears",12
"Northanger Abbey","truth",12
"Northanger Abbey","usual",12
"Northanger Abbey","watch",12
"Northanger Abbey","week",12
"Northanger Abbey","women",12
"Northanger Abbey","yours",12
"Persuasion","altered",12
"Persuasion","around",12
"Persuasion","begun",12
"Persuasion","board",12
"Persuasion","boy",12
"Persuasion","bring",12
"Persuasion","bringing",12
"Persuasion","carteret",12
"Persuasion","certain",12
"Persuasion","consider",12
"Persuasion","desirable",12
"Persuasion","difficulties",12
"Persuasion","directly",12
"Persuasion","eight",12
"Persuasion","eldest",12
"Persuasion","exceedingly",12
"Persuasion","five",12
"Persuasion","growing",12
"Persuasion","harville's",12
"Persuasion","leaving",12
"Persuasion","letters",12
"Persuasion","louisa's",12
"Persuasion","mention",12
"Persuasion","miles",12
"Persuasion","occasion",12
"Persuasion","pass",12
"Persuasion","placed",12
"Persuasion","plan",12
"Persuasion","promised",12
"Persuasion","putting",12
"Persuasion","recollect",12
"Persuasion","remained",12
"Persuasion","sick",12
"Persuasion","six",12
"Persuasion","smiling",12
"Persuasion","spirit",12
"Persuasion","stood",12
"Persuasion","surprised",12
"Persuasion","temper",12
"Persuasion","ten",12
"Persuasion","thank",12
"Persuasion","truly",12
"Persuasion","wait",12
"Persuasion","wishing",12
"Sense & Sensibility","absence",11
"Sense & Sensibility","amazement",11
"Sense & Sensibility","attempted",11
"Sense & Sensibility","attend",11
"Sense & Sensibility","beginning",11
"Sense & Sensibility","behaved",11
"Sense & Sensibility","caught",11
"Sense & Sensibility","choice",11
"Sense & Sensibility","colonel's",11
"Sense & Sensibility","colour",11
"Sense & Sensibility","concluded",11
"Sense & Sensibility","contrary",11
"Sense & Sensibility","cousin",11
"Sense & Sensibility","dared",11
"Sense & Sensibility","deceived",11
"Sense & Sensibility","design",11
"Sense & Sensibility","eagerness",11
"Sense & Sensibility","employed",11
"Sense & Sensibility","established",11
"Sense & Sensibility","explained",11
"Sense & Sensibility","force",11
"Sense & Sensibility","forget",11
"Sense & Sensibility","free",11
"Sense & Sensibility","hurried",11
"Sense & Sensibility","ideas",11
"Sense & Sensibility","imprudence",11
"Sense & Sensibility","injured",11
"Sense & Sensibility","inquiries",11
"Sense & Sensibility","intimacy",11
"Sense & Sensibility","light",11
"Sense & Sensibility","magna",11
"Sense & Sensibility","mistress",11
"Sense & Sensibility","monstrous",11
"Sense & Sensibility","objects",11
"Sense & Sensibility","openly",11
"Sense & Sensibility","parlour",11
"Sense & Sensibility","picture",11
"Sense & Sensibility","piece",11
"Sense & Sensibility","pleasing",11
"Sense & Sensibility","possession",11
"Sense & Sensibility","profession",11
"Sense & Sensibility","public",11
"Sense & Sensibility","rain",11
"Sense & Sensibility","raise",11
"Sense & Sensibility","recommended",11
"Sense & Sensibility","remembrance",11
"Sense & Sensibility","removal",11
"Sense & Sensibility","reply",11
"Sense & Sensibility","secrecy",11
"Sense & Sensibility","send",11
"Sense & Sensibility","sigh",11
"Sense & Sensibility","sooner",11
"Sense & Sensibility","sorrow",11
"Sense & Sensibility","spared",11
"Sense & Sensibility","spend",11
"Sense & Sensibility","stand",11
"Sense & Sensibility","stopped",11
"Sense & Sensibility","striking",11
"Sense & Sensibility","tender",11
"Sense & Sensibility","thank",11
